round,client_id,client_label,num_examples,train_loss,train_accuracy,train_f1_macro,val_loss,val_accuracy,val_f1_macro
1,client_10326823892632689953,client_10326823892632689953,84396,0.7661830973444562,0.788651120906204,0.5201844057840798,1.3864140375739051,0.5193937958797064,0.41605101141833556
1,client_1657052097196988877,client_1657052097196988877,84399,0.728902776524274,0.7939233087279866,0.4902541940744844,0.9254986682818049,0.7351269420234937,0.46155598625365274
1,client_169793661228627375,client_169793661228627375,84425,0.7869197877368542,0.7825880959431447,0.6452128756178306,1.2171287022176243,0.6610627012691798,0.5643750030564694
2,client_10326823892632689953,client_10326823892632689953,84396,0.303207647077965,0.9052680221811459,0.6933661162639154,0.5797475920546622,0.8100876154392612,0.6355891760471714
2,client_1657052097196988877,client_1657052097196988877,84399,0.271344575030033,0.9153465483398303,0.6376191881896768,0.521714905365592,0.8378647214854111,0.6086342133079445
2,client_169793661228627375,client_169793661228627375,84425,0.297459942674396,0.909817392162669,0.8599860791195946,0.4982611629224959,0.8516764538738397,0.7607978041325517
3,client_10326823892632689953,client_10326823892632689953,84396,0.21767219711433758,0.9270463055121096,0.7497080094843755,0.3745252491817588,0.8825953113900071,0.6843462279401982
3,client_1657052097196988877,client_1657052097196988877,84399,0.20249340421322617,0.9323965133868094,0.6620755519234415,0.4119711316057614,0.8626847290640394,0.6207330930631053
3,client_169793661228627375,client_169793661228627375,84425,0.20409977682913194,0.9324962984897839,0.904611627725613,0.31037964370279086,0.9014964955483993,0.8322541525113839
4,client_10326823892632689953,client_10326823892632689953,84396,0.18692846703107913,0.9356644074758678,0.770402236559988,0.3043792441132523,0.9034335780251006,0.7059725601433628
4,client_1657052097196988877,client_1657052097196988877,84399,0.1763616985594383,0.9397583699648889,0.6852127480784888,0.35764168486708686,0.8750473664266768,0.6767037186104251
4,client_169793661228627375,client_169793661228627375,84425,0.1698398628770703,0.9424499062284077,0.9206131047166952,0.2376973768252702,0.9229020647849971,0.8598684937334712
5,client_10326823892632689953,client_10326823892632689953,84396,0.16829842055084732,0.9415454128947659,0.7878196565562332,0.2751063612245378,0.9107743310442813,0.7115490537779872
5,client_1657052097196988877,client_1657052097196988877,84399,0.1584615260362625,0.945260014929087,0.6937544118763395,0.32941477923166185,0.880399772641152,0.664182483346002
5,client_169793661228627375,client_169793661228627375,84425,0.15028495610964418,0.9478116671602014,0.9284954154838863,0.20276368595659733,0.9321367683273347,0.8711054121177336
6,client_10326823892632689953,client_10326823892632689953,84396,0.1544615952354489,0.9457873200941593,0.7968158898449484,0.25168984897789504,0.9174994080037888,0.7198980013244608
6,client_1657052097196988877,client_1657052097196988877,84399,0.14589169079607184,0.9488185089080835,0.7051446075180703,0.30959066021300496,0.886178476695718,0.6809970711513765
6,client_169793661228627375,client_169793661228627375,84425,0.13761024995885715,0.9515704274010464,0.9340602126244638,0.17813429990339846,0.9391456715286987,0.8785045215354946
7,client_10326823892632689953,client_10326823892632689953,84396,0.14426290334174127,0.9489825742136279,0.8122028647826522,0.23657278698824702,0.9215249822401137,0.7233144808103024
7,client_1657052097196988877,client_1657052097196988877,84399,0.13767900189968071,0.9516384475329486,0.7199874474261555,0.30257489292749334,0.8879784009094354,0.677929574151502
7,client_169793661228627375,client_169793661228627375,84425,0.1256564208654442,0.955431842858553,0.9396601279429831,0.1701541454309509,0.9417976889562417,0.8825761004974949
8,client_10326823892632689953,client_10326823892632689953,84396,0.1349541516015024,0.9521304327219299,0.8134435726037976,0.22452657244035176,0.9250769595074592,0.7324865477229247
8,client_1657052097196988877,client_1657052097196988877,84399,0.1293446793399676,0.9542688104519406,0.7160914121590002,0.30277149556648164,0.8860363774156877,0.6752623553432834
8,client_169793661228627375,client_169793661228627375,84425,0.11804219619794326,0.9579784818872766,0.9429248779765739,0.16057073058826582,0.9446864936541012,0.8879812038341681
9,client_10326823892632689953,client_10326823892632689953,84396,0.12771615364936867,0.9541052498538636,0.8214077306496108,0.21883906654658772,0.9274923040492541,0.7368118482933942
9,client_1657052097196988877,client_1657052097196988877,84399,0.12414410951161625,0.9564923755020794,0.7396753180171697,0.30058681929395314,0.8858469117089807,0.6771345762450629
9,client_169793661228627375,client_169793661228627375,84425,0.11009839539124507,0.9604106208666469,0.9464526473693732,0.1527841988773573,0.9461072172759992,0.8890126015982618
10,client_10326823892632689953,client_10326823892632689953,84396,0.12081889452958346,0.956589569805836,0.8398087254316704,0.21149419815767379,0.9288183755623964,0.7379848991054554
10,client_1657052097196988877,client_1657052097196988877,84399,0.11788039133705275,0.9584315769934083,0.7354157121654481,0.28500139376237277,0.8936150056839712,0.6878505120336608
10,client_169793661228627375,client_169793661228627375,84425,0.10345642444009732,0.9628032770703782,0.949967825479562,0.15237718377084958,0.9471964387194545,0.8905789957671514
