round,val_loss
1,1.176359660328147
2,0.5332412137818542
3,0.3656222743375243
4,0.29990238541603126
5,0.2690910381424067
6,0.24646753479224817
7,0.23642976290453616
8,0.22928503447230805
9,0.2240652789188926
10,0.21628666201025773
