split,loss,accuracy,f1_macro
pooled_test,0.13502436551324865,0.9515871011198114,0.9510022289774877
test_client_01,0.13949215435422957,0.9501171537797509,0.9497472115928383
test_client_02,0.13668669667094946,0.9510177705977383,0.9498680713993128
test_client_03,0.12636224133893847,0.9536515965855201,0.9532739089885058
